UNITID,EN2010,EN2011
121691,2992,351
121691,2309,30143
121707,11177,30143
121707,11177,30470
121859,252,30470
121859,252,1255
121868,125,218
121868,125,1037
121877,204,295
121877,204,295
121886,36272,360
121886,36272,101
121901,54751,259
121901,54751,37957
121983,1224,37957
121983,175,37586
121983,1049,37586
121992,277,1845
121992,277,933
122117,233,912
122117,233,29873
122180,40786,29873
122180,40786,541
122205,36180,541
122205,36180,40844
122296,1784,40844
122296,898,23179
122296,886,23179
122339,30010,34999
122339,30010,29115
122366,508,5884
122366,508,9106
122375,38806,5740
122375,38806,3366
122384,21822,735
122384,21822,469
122409,34997,266
122409,28366,407
122409,6631,195
122436,8819,212
122436,5397,32633
122436,3422,27564
122454,678,5069
122454,419,385
122454,259,385
122506,428,11313
122506,211,6707
122506,217,4606
122597,32912,213
122597,27422,213
122597,5490,25367
122603,441,25367
122603,441,2538
122612,10689,2538
122612,6339,1692
122612,4350,1692
122649,212,964
122649,212,900
122658,27366,64
122658,27366,16994
122685,2374,16994
122685,2374,31575
122694,1668,25151
122694,1668,6424
122728,720,16105
122728,695,16105
122728,25,1561
122746,18855,1561
122746,18855,8525
122755,33109,8264
122755,25516,261
122755,7593,536
122791,18615,536
122791,18615,27236
122834,1520,27236
122834,1520,10184
122843,12863,5566
122843,12543,4618
122843,320,46490
122852,520,46490
122852,520,36845
122889,28763,36845
122889,28763,776
122931,9883,776
122931,5473,1052
122931,4410,1028
122977,49586,24
122977,49586,3115
123013,37533,3115
123013,37533,18665
123095,754,18665
123095,754,77
123165,998,55
123165,974,22
123165,24,13656
123208,3296,13656
123208,3296,26986
123217,19360,26986
123217,19360,216
123280,75,216
123280,56,214
123280,19,214
123299,14740,223
123299,14740,223
123341,28583,1495
123341,28583,1096
123350,216,399
123350,216,4467
123396,246,4467
123396,246,1638
123448,190,1638
123448,190,16298
123457,1380,16298
123457,1073,19105
123457,307,19105
123484,5571,4357
123484,5571,2965
123493,2042,1392
123493,2042,17920
123509,17419,17920
123509,17419,9013
123527,22980,7817
123527,22980,1196
123554,4263,261
123554,2660,261
123554,1603,971
123563,18688,464
123563,18688,507
123572,8972,602
123572,7657,602
123572,1315,2970
123581,187,2671
123581,187,299
123633,870,855
123633,423,855
123633,447,25907
123642,570,25907
123642,570,95
123651,2699,95
123651,2372,78
123651,327,78
123679,861,586
123679,861,586
123800,28784,506
123800,28784,268
123855,95,238
123855,95,40515
123916,81,18876
123916,81,21639
123943,497,1476
123943,497,1476
123952,493,16256
123952,255,16256
123952,238,436
123961,38860,436
123961,18316,361
123961,20544,361
123970,1155,338
123970,1155,338
124113,14587,397
124113,14587,397
124283,466,22275
124283,466,22275
124292,348,918
124292,348,918
124344,280,62
124344,280,62
124487,363,802
124487,363,802
124681,13417,21401
124681,13417,21401
124706,979,116
124706,979,116
124779,39,252
124779,39,252
124937,802,18526
124937,802,18526
125028,22942,11853
125028,22942,11853
125082,257,71763
125082,257,14642
125091,19431,57121
125091,19431,2599
125170,12161,2599
125170,12161,4588
125231,63875,4588
125231,10726,17410
125231,53149,17410
125301,5972,18852
125301,5972,18852
125462,4778,2559
125462,4778,2559
125471,18188,174
125471,18188,174
125480,296,1422
125480,296,1404
125499,20215,18
125499,20215,2514
125532,2690,1570
125532,2690,944
125718,150,2273
125718,150,1777
125727,1367,496
125727,1359,432
125727,8,432
125763,2266,485
125763,1410,485
125763,856,1231
125897,2083,1231
125897,1572,130
125897,511,130
126012,423,10718
126012,423,10718
126030,465,134
126030,465,134
126049,1074,4151
126049,1074,3132
126076,132,1019
126076,132,8071
126119,12375,8071
126119,12375,18336
126164,141,18336
126164,141,998
126182,3836,998
126182,2906,1184
126182,930,1184
126207,8258,205
126207,8258,205
126289,16833,31972
126289,16833,17042
126359,901,14930
126359,901,12729
126401,1640,9050
126401,1640,3679
126410,232,1251
126410,232,1251
126562,32606,36946
126562,17452,30058
126562,15154,6888
126580,13019,4229
126580,8694,3716
126580,4325,513
126605,1331,2484
126605,1331,2378
126614,37348,106
126614,30660,766
126614,6688,766
126669,3762,2925
126669,3047,2925
126669,715,10740
126678,2598,10740
126678,2433,2319
126678,165,2319
126687,854,6709
126687,854,3962
126702,3154,2747
126702,3154,254
126711,10934,254
126711,10934,33712
126748,2361,25042
126748,2361,8670
126775,6670,4359
126775,3858,3052
126775,2812,1307
126784,166,176
126784,166,176
126818,35137,11652
126818,25231,11652
126818,9906,1298
126827,4285,1298
126827,3092,2165
126827,1193,2165
126854,212,233
126854,212,233
126863,10188,19455
126863,10188,19455
126872,725,1607
126872,725,1607
126915,2493,1156
126915,2493,1156
126924,194,1151
126924,194,1151
126942,17274,13879
126942,17274,5900
126951,1732,7979
126951,1732,4738
126979,1074,4738
126979,1074,4191
127024,1507,4191
127024,1507,30268
127060,13762,30268
127060,5820,69
127060,7942,69
127158,4363,351
127158,4363,351
127185,4407,402
127185,4407,402
127200,28236,375
127200,28236,375
127219,59,1370
127219,59,1370
127228,356,10010
127228,356,9840
127273,312,170
127273,312,29924
127316,370,29852
127316,370,72
127389,1502,2865
127389,1502,2865
127556,8800,1194
127556,8618,504
127556,182,690
127565,29074,635
127565,29074,635
127617,2935,653
127617,2935,653
127653,1179,1396
127653,518,1396
127653,661,3062
127680,612,3062
127680,612,15503
127699,691,11619
127699,691,3884
127714,1483,2317
127714,1483,2317
127732,3923,1342
