UNITID,F1A13_10,F1A18_10,F1B25_10,F1A13_11,F1A18_11,F1B25_11
113573,337496838,136212178,89977148,330753149,138826714,89055865
113582,,,,,,
113607,,,,,,
113634,,,119368033,,,117765408
113698,,,,,,
113704,,,,,,
113856,,,171524985,,,204534316
113908,,,,,,
113953,,,76431467,,,33625303
113980,218443093,110039241,177190151,218971876,113332839,186558068
114044,,,,,,
114062,,,,,,
114071,,,,,,
114080,,,,,,
114114,,,,,,
114123,,,,,,
114266,,,61012928,,,60599199
114354,,,,,,
114372,,,,,,
114390,,,,,,
114415,,,,,,
114433,6698560,10589466,26627565,4371765,14977216,24219258
114460,,,,,,
114549,,,,,,
114585,,,,,,
114628,,,,,,
114716,242299322,43630734,115091174,316172644,39680607,115399564
114734,,,,,,
114761,,,,,,
114789,79082923,84442786,142297585,77184045,90526546,138900375
114813,,,,,,
114831,605748306,109076834,287727935,790431610,99201518,288498912
114840,,,,,,
114859,,,172104889,,,170930244
114895,,,,,,
114938,82330394,23279281,51193593,108965698,18618560,48929905
114947,,,,,,
115001,98553642,73007839,134500032,100666645,70940904,138137278
115010,,,,,,
115083,,,,,,
115126,113487158,44732681,86508228,115952448,41603646,85583295
115214,,,,,,
115287,254710806,120057042,17347997,250700842,119472241,15345036
115296,,,98790908,,,94267766
115357,,,,,,
115393,142873517,76531235,65475509,145270322,75567486,67530165
115409,,,,,,
115454,,,,,,
115472,,,,,,
115490,,,,,,
115515,,,,,,
115533,,,,,,
115658,,,,,,
115728,,,,,,
115746,,,,,,
115755,99062230,184176093,149269949,98656794,191594890,156262938
115773,,,,,,
115861,74379274,-6279691,69384335,102990714,-7169825,72564054
115931,,,,,,
116040,,,,,,
116226,,,,,,
116350,,,,,,
116439,,,72324498,,,79504252
116466,,,,,,
116475,,,,,,
116484,,,,,,
116563,,,,,,
116712,,,,,,
116846,,,,,,
117052,61918590,143573075,83732955,56360616,145413586,82296355
117104,,,,,,
117113,,,,,,
117140,,,,,,
117168,,,,,,
117195,3281911,30082300,19225673,3121097,31097760,18535646
117238,,,,,,
117247,,,64937111,,,84590364
117274,2968945,7047492,18110692,3451307,7439953,22146189
117520,,,,,,
117557,,,,,,
117575,,,,,,
117627,,,,,,
117636,,,,,,
117645,440105297,49820258,189842546,420310848,46241422,196890886
117672,,,,,,
117681,3045393480,640860041,0,3997759224,757974176,0
117690,,,70417259,,,78177430
117706,,,136783276,,,148656750
117715,,,52726703,,,57276115
117724,,,88196811,,,106369343
117733,,,112292737,,,138358253
117751,,,,,,
117788,,,137377031,,,147897937
117803,,,6280747,,,6301485
117867,,,66671667,,,76667397
117894,,,61932204,,,61909758
117900,279695358,424999079,48493590,404926960,435899402,43247580
117928,,,,,,
117946,,,,,,
117955,,,,,,
118116,,,,,,
118125,,,,,,
118134,,,,,,
118143,,,,,,
118161,,,,,,
118189,,,,,,
118198,,,,,,
118259,,,,,,
118277,,,,,,
118286,,,,,,
118347,155499262,46417150,69635137,204647075,44904402,70756549
118356,,,,,,
118541,,,,,,
118684,39112175,34109589,31230380,38704675,34187315,33215701
118693,,,,,,
118718,64044374,90716723,66691952,61164618,88921067,94425429
118772,,,31913943,,,43430942
118888,,,,,,
118912,14434320,116814377,100663473,13500247,112376528,101541038
118921,,,,,,
118930,,,66786268,,,65810849
118958,,,,,,
118967,,,,,,
118976,,,50370572,,,53635057
118994,,,,,,
119058,,,,,,
119067,149732505,62500643,60504154,150174566,60854656,62316187
119137,,,62093544,,,62286108
119164,278480622,163891484,221802573,270634800,173303878,232392149
119173,,,,,,
119216,24519099,68877540,89031578,25971085,69962645,91693660
119234,,,,,,
119270,,,,,,
119331,160668516,18766817,58064981,157412784,14962415,56439063
119340,,,,,,
119359,,,,,,
119368,,,,,,
119438,,,,,,
119456,,,,,,
119465,,,,,,
119508,,,,,,
119544,,,,,,
119553,,,,,,
119605,,,,,,
119678,,,,,,
119775,,,,,,
119845,,,,,,
119951,,,,,,
120023,294241914,316000859,0,299664469,256066285,0
120069,,,,,,
120078,,,,,,
120087,,,,,,
120166,,,,,,
120184,,,,,,
120254,,,,,,
120272,,,,,,
120290,153422444,76390871,71143584,154852142,73986180,72471666
120342,193832049,76401835,147752992,198042676,71057556,146173240
120403,,,,,,
120421,,,44073199,,,42363643
120537,,,,,,
120661,,,,,,
120698,,,,,,
120740,,,,,,
120768,,,,,,
120795,,,,,,
120838,,,,,,
120865,,,,,,
120883,,,,,,
120953,42268997,47389520,27994844,42774965,50054589,24467544
120971,180900544,134517898,164879430,357383697,144836081,166198702
121008,,,,,,
121017,,,,,,
121044,164543151,188491044,187917655,166459644,185033025,195191339
121071,,,,,,
121150,,,,,,
121178,711471552,58557652,36121719,722894118,71868955,33499901
121257,,,,,,
121275,,,,,,
121309,,,,,,
121345,,,,,,
121363,,,35452017,,,33550391
121381,,,,,,
121433,,,,,,
121619,,,136217520,,,137072782
121628,,,,,,
121637,,,,,,
